4.714535375155471654e-06,3.267663475805340111e-05,1.984682354398786504e-04,1.173415087933728142e-03,6.695160937082231603e-03,3.253451824188232505e-02
4.748389954133697285e-06,3.285648062050989436e-05,1.992687772596285435e-04,1.177102371825892091e-03,6.713279544230037719e-03,3.253451824188232505e-02
4.764627883528466939e-06,3.293534563058666024e-05,1.995260216352158901e-04,1.177359385042221198e-03,6.707446278192606692e-03,3.253451824188232505e-02
4.985653218836643975e-06,3.430449473701787559e-05,2.074199985938994658e-04,1.220572831090008291e-03,6.889508828338965912e-03,3.253451824188232505e-02
5.178329154506487291e-06,3.551831182722061471e-05,2.137208522166123361e-04,1.246783382548827257e-03,6.949055308924292386e-03,3.253451824188232505e-02
5.366939496857827892e-06,3.665024225255576008e-05,2.189744285383118320e-04,1.266425766425660192e-03,7.006216244592739298e-03,3.253451824188232505e-02
5.504260648482548262e-06,3.740848944419418362e-05,2.219444561879970878e-04,1.274465843808721913e-03,7.014904026635983975e-03,3.253451824188232505e-02
5.402146663669077137e-06,3.665785593114981436e-05,2.164048606150607531e-04,1.238310335038324186e-03,6.844918734396636568e-03,3.253451824188232505e-02
5.325977321400073692e-06,3.603895366388279063e-05,2.124729614727944010e-04,1.219838074487697259e-03,6.797304564802032073e-03,3.253451824188232505e-02
5.085659423528358980e-06,3.450592573447787377e-05,2.039847022620365719e-04,1.178010540892088665e-03,6.641164933813663296e-03,3.253451824188232505e-02
4.905240141729361315e-06,3.336834440746126637e-05,1.984200279633338657e-04,1.156851064740969937e-03,6.594139824400309900e-03,3.253451824188232505e-02
4.940539059784127075e-06,3.364522155890821057e-05,2.014202637119613453e-04,1.182367107777515351e-03,6.727728214954295342e-03,3.253451824188232505e-02
5.014909048178564543e-06,3.426087547128141454e-05,2.057533250305531788e-04,1.206320325547557970e-03,6.816120774812464353e-03,3.253451824188232505e-02
5.139421717389382932e-06,3.511979931661357633e-05,2.106080502800284184e-04,1.228130604653805561e-03,6.876279147464024397e-03,3.253451824188232505e-02
5.282922412950147610e-06,3.601344891093194163e-05,2.150055228924351535e-04,1.245253569870658243e-03,6.917526398420859035e-03,3.410994052886962696e-02
5.260052458352978916e-06,3.585220462072590279e-05,2.137996579360479594e-04,1.244905468497591993e-03,7.052428068544987737e-03,3.443301200866698969e-02
5.323462040020746682e-06,3.629461398494356387e-05,2.172833844292425081e-04,1.273072186582432106e-03,7.218984949981518268e-03,3.443301200866698969e-02
