5.770045099598352582e-06,4.273827118255761392e-05,2.794372301097829549e-04,1.781897058698201416e-03,1.087839609278453204e-02,4.881149291992187278e-02
5.805182953877161292e-06,4.292022062815252286e-05,2.801880262927247873e-04,1.785010406354806643e-03,1.089234537935561929e-02,4.881149291992187278e-02
5.839843039697720871e-06,4.316757410190656647e-05,2.816528484811380169e-04,1.792783684622302259e-03,1.092285106586273272e-02,4.881149291992187278e-02
5.784080092184621437e-06,4.273070738121378460e-05,2.785023824012316357e-04,1.770412216202765397e-03,1.078497219395262857e-02,4.881149291992187278e-02
1.611458302800120501e-05,1.076631310880503428e-04,6.943973129935472307e-04,4.415709893948295030e-03,2.297121040925979504e-02,4.881149291992187278e-02
1.619267236785938376e-05,1.161477301213027292e-04,7.262286673491497773e-04,3.989337805651015437e-03,1.698943827835345394e-02,4.881149291992187278e-02
1.638022842003090533e-05,1.123819112649194194e-04,6.412060581751892344e-04,3.233797441952820755e-03,1.437197658710690634e-02,4.881149291992187278e-02
1.540599562094844668e-05,1.008240189129486902e-04,5.451673936957601762e-04,2.726486733473867333e-03,1.300604872500778220e-02,4.881149291992187278e-02
1.376739694222770090e-05,8.792655787467364668e-05,4.692961048470671863e-04,2.409009389678393870e-03,1.222976520533363039e-02,4.881149291992187278e-02
1.198124817462624470e-05,7.627829949348960967e-05,4.127225032406153273e-04,2.200200746676757128e-03,1.171519175161696985e-02,4.881149291992187278e-02
1.074527025966266274e-05,6.906471541469414843e-05,3.843995544012757050e-04,2.132979524339279152e-03,1.172637433886342812e-02,4.881149291992187278e-02
9.351394093944273613e-06,6.139894207760643340e-05,3.511832483440670196e-04,2.000466604328188843e-03,1.125503014605782476e-02,4.881149291992187278e-02
8.619078533571488196e-06,5.763776809690403669e-05,3.389718452244331725e-04,1.985689896157198046e-03,1.137934144506465989e-02,4.881149291992187278e-02
8.171301853745837774e-06,5.553783083665988108e-05,3.334724890800206450e-04,1.983193579341862960e-03,1.140397906159860628e-02,4.881149291992187278e-02
7.891526011498192777e-06,5.433214183904862488e-05,3.304120730946050557e-04,1.979085637153950479e-03,1.140698497914232820e-02,5.266521930694580134e-02
7.689984720050698004e-06,5.351352468731310197e-05,3.299839568834742596e-04,2.021989904033116674e-03,1.208678106034002595e-02,6.399108886718750389e-02
7.548549418358632194e-06,5.360112799969618021e-05,3.427394967746157464e-04,2.243476996136344308e-03,1.464455674881087049e-02,6.399108886718750389e-02
7.398734944117218891e-06,5.429697981272026727e-05,3.609443124164097238e-04,2.405296883651472650e-03,1.520408820342547540e-02,6.399108886718750389e-02
